OBJECTNUMMER;Straatvaknummer;Loopruimte;Walkability_algemeen;Drukte_algemeen;Walkability_recreatief;Drukte_recreatief;Walkability_toeristisch;Drukte_toeristisch;Walkability_werkgerelateerd;Drukte_werkgerelateerd;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
9565;9565;"krap";"slecht";"zeer druk";"slecht";"zeer druk";"slecht";"zeer druk";"slecht";"zeer druk";"LINESTRING(4.898323 52.377196,4.898313 52.377231)";"LINESTRING(52.377196 4.898323,52.377231 4.898313)";4.898318;52.3772135;
9566;9566;"krap";"goed";"zeer rustig";"goed";"zeer rustig";"matig";"rustig";"goed";"zeer rustig";"LINESTRING(4.887755 52.377614,4.887811 52.377575,4.888059 52.37749,4.888133 52.37748)";"LINESTRING(52.377614 4.887755,52.377575 4.887811,52.37749 4.888059,52.37748 4.888133)";4.887944;52.377547;
9567;9567;"ruim";"matig";"druk";"matig";"druk";"matig";"zeer druk";"matig";"druk";"LINESTRING(4.902957 52.373571,4.902963 52.373605,4.902935 52.373652,4.902691 52.374015)";"LINESTRING(52.373571 4.902957,52.373605 4.902963,52.373652 4.902935,52.374015 4.902691)";4.902827;52.373793;
9568;9568;"zeer ruim";"uitstekend";"rustig";"goed";"druk";"goed";"druk";"goed";"druk";"LINESTRING(4.873176 52.340332,4.873183 52.340265)";"LINESTRING(52.340332 4.873176,52.340265 4.873183)";4.8731795;52.3402985;
9569;9569;"zeer ruim";"goed";"druk";"uitstekend";"rustig";"goed";"druk";"matig";"zeer druk";"LINESTRING(4.90273 52.371337,4.903202 52.37157)";"LINESTRING(52.371337 4.90273,52.37157 4.903202)";4.902966;52.3714535;
9570;9570;"zeer ruim";"goed";"druk";"matig";"zeer druk";"goed";"druk";"goed";"druk";"LINESTRING(4.900668 52.372758,4.900642 52.372661,4.900558 52.372583)";"LINESTRING(52.372758 4.900668,52.372661 4.900642,52.372583 4.900558)";4.900613;52.3726705;
9571;9571;"krap";"goed";"zeer rustig";"goed";"zeer rustig";"goed";"rustig";"goed";"rustig";"LINESTRING(4.88806 52.377408,4.888061 52.377354,4.888033 52.377325)";"LINESTRING(52.377408 4.88806,52.377354 4.888061,52.377325 4.888033)";4.888047;52.3773665;
9572;9572;"zeer ruim";"uitstekend";"rustig";"uitstekend";"rustig";"goed";"druk";"goed";"druk";"LINESTRING(4.89158 52.36639,4.891686 52.366672)";"LINESTRING(52.36639 4.89158,52.366672 4.891686)";4.891633;52.366531;
9573;9573;"ruim";"matig";"zeer druk";"matig";"druk";"matig";"zeer druk";"matig";"druk";"LINESTRING(4.876373 52.362888,4.877678 52.363289,4.878427 52.363501,4.878721 52.363568)";"LINESTRING(52.362888 4.876373,52.363289 4.877678,52.363501 4.878427,52.363568 4.878721)";4.877547;52.363228;
9574;9574;"zeer ruim";"uitstekend";"zeer rustig";"uitstekend";"zeer rustig";"uitstekend";"zeer rustig";"uitstekend";"zeer rustig";"LINESTRING(4.915305 52.359235,4.915379 52.359273,4.91546 52.359254)";"LINESTRING(52.359235 4.915305,52.359273 4.915379,52.359254 4.91546)";4.9153825;52.359254;
